"Market Name","Date","Sales","Dollar Volume","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Texas","1992-01-01","5989","509981317","85153","70935","88699","10.35"
"Texas","1991-12-01","7434","677326608","91112","73087","83843","9.79"
"Texas","1991-11-01","8069","662666625","82125","69761","88745","10.37"
"Texas","1991-10-01","8267","718261761","86883","70251","93878","10.97"
"Texas","1991-09-01","8645","759463250","87850","74946","94510","11.01"
"Texas","1991-08-01","10556","947992136","89806","71229","96247","11.26"
"Texas","1991-07-01","10216","942558808","92263","75142","101933","11.85"
"Texas","1991-06-01","10494","953128044","90826","74261","102425","11.92"
"Texas","1991-05-01","10533","958734726","91022","73185","101772","11.92"
"Texas","1991-04-01","8554","747439966","87379","68685","100899","11.97"
"Texas","1991-03-01","7862","671076734","85357","69468","99905","11.88"
"Texas","1991-02-01","6242","491601194","78757","69175","98172","11.6"
"Texas","1991-01-01","5917","493744065","83445","66827","96285","11.38"
"Texas","1990-12-01","7294","610245216","83664","67316","91204","10.59"
